iter        J                  ΔJ                   |d|             α       
41   1095.1397976384515    3.2317835756683704   4.9097767819263405    1.0 
42   1092.8033380277614    3.915745024265587   4.262241379573693    1.0 
43   1090.53853728076    4.432422514699243   5.650803266278505    1.0 
44   1088.6813855814219    6.611484339137174   5.340811646496099    1.0 
45   1087.1340336744588    9.07624374561284   6.814993761168197    1.0 
46   1086.445419113499    16.09777944377517   8.131652534324951    0.5 
47   1082.812413489847    2.7172032726383657   4.494409668300005    1.0 
48   1080.821458083278    3.363071760496077   3.891119944067489    1.0 
49   1078.8313891860196    3.852581310905123   5.264401260871001    1.0 
50   1077.1704442402774    5.772711298387376   4.988544899828068    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
51   1075.7204642544496    7.944644761454477   6.4159109145372835    1.0 
52   1075.0066877802249    14.052910269632802   7.513408599669314    0.5 
53   1071.7834862428997    2.5052376882479774   4.284411393018702    1.0 
54   1069.905820943385    3.136379353642221   3.702902941021305    1.0 
55   1067.9732832827935    3.5715497516269483   5.061580532631556    1.0 
56   1066.32667871935    5.313398531922016   4.7778243680851995    1.0 
57   1064.8101285940522    7.2128288106719465   6.188180206939643    1.0 
58   1063.9428847449058    12.603433695140625   7.011753999344782    1.0 
59   1063.7299673921748    18.497015268522603   8.310231365280881    0.5 
60   1059.2814723581241    2.5978412071596035   3.156495233238351    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
61   1057.2601238925324    2.8604193063160888   4.44528981675106    1.0 
62   1055.2040922223396    3.426184348671258   3.3282089605702    1.0 
63   1053.2463423192994    4.185691518675247   5.295183338394925    1.0 
64   1051.5173532730357    6.347989744046667   4.877326219278933    1.0 
65   1049.9807071389246    8.788091912879322   6.616549899730056    1.0 
66   1049.1893496501848    15.45081973614978   8.094058644937043    0.5 
67   1045.6298028856702    2.8417955433904263   4.526331799068424    1.0 
68   1043.5493309521491    3.731620799918032   3.9935021276680653    1.0 
69   1041.2010103783164    4.02170542690134   5.450102429853741    1.0 
70   1039.2238223548038    5.960344974343479   5.045782126331734    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
71   1037.217896126439    7.666312588730052   6.588005286822403    1.0 
72   1035.9050726213345    13.052738587622503   7.056279790549131    1.0 
73   1035.0577551178978    18.37521236816875   8.576442801721056    0.5 
74   1030.5071990500717    3.1619331888413207   3.6383978168304867    1.0 
75   1028.0035891124846    3.5982296725171454   4.863325413357765    1.0 
76   1025.2237570137488    3.9147198875029714   3.510424513734911    1.0 
77   1022.6193158196542    4.538609660143666   5.684866578466246    1.0 
78   1020.1530792480714    6.369085285397333   4.8876067198310285    1.0 
79   1017.7841029373781    8.159064266429791   6.986417030465956    1.0 
80   1016.0265662040465    13.497861946403226   7.199414340954774    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
81   1014.7512638895043    18.656203273324913   8.963542154480288    0.5 
82   1010.0345066346096    3.5836484113134266   3.9989929268568427    1.0 
83   1007.2290086549659    4.240023575497108   5.196989768329241    1.0 
84   1003.9151949180196    4.308800081594043   3.6604662311981104    1.0 
85   1000.9058022514157    4.8693157774985885   5.976177789174962    1.0 
86   998.0088746853149    6.559202574497211   4.937056117367464    1.0 
87   995.2031682593363    8.087570401898153   7.144873495385512    1.0 
88   992.9795805324828    12.95665660892085   6.914068464082956    1.0 
89   991.1619952025854    17.455693735019153   9.035441798320964    1.0 
