iter        J                  ΔJ                   |d|             α       
97   1080.274831130688    0.5852933772935258   1.2420290393990376    1.0 
98   1079.6881845577425    0.6029539167158762   1.1760123817603239    1.0 
99   1079.0812297862935    0.6521049263376415   1.2381404484940628    1.0 
100   1078.4303159067229    1.7589631342476546   9.739047729173139    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
101   1077.286072709593    0.4687270394259873   1.224123690856662    1.0 
102   1076.816672749428    0.4556237598103702   1.1619081400456264    1.0 
103   1076.3568630013083    0.5547994723489899   2.310824747685812    1.0 
104   1075.8332145276236    0.49254362592150513   1.0578102028331475    1.0 
105   1075.3345645959532    0.4428929063951336   1.0457474427078735    1.0 
106   1074.8878475780946    0.5702586189961344   1.2017994070982174    1.0 
107   1074.3187389187633    0.4877121594034556   1.0891389912035958    1.0 
108   1073.8317753114297    1.3724267294273917   8.625705768438133    1.0 
109   1072.9381270913775    0.38864163730303786   1.0101544986426094    1.0 
110   1072.5443062401046    0.39357968366098445   0.9713722935675568    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
111   1072.144404551524    0.38172083164594756   0.9219969974009417    1.0 
112   1071.7578778857858    0.499320964865963   0.8797675441212156    1.0 
113   1071.254902617498    0.3933497651968222   0.9126696016393454    1.0 
114   1070.8593685140797    0.3746072106051258   0.8555462168123581    1.0 
115   1070.4819183165685    0.47137446982230635   1.1855689278174675    1.0 
116   1070.0133925772475    2.6107825260043747   10.342427995723439    1.0 
117   1068.2529617705843    0.5438880670546244   1.324927132497557    1.0 
118   1067.7422926418405    0.38315469583436745   1.0804475905654296    1.0 
119   1067.3552425865016    0.37140947324852486   0.9937095505843407    1.0 
120   1066.9788246832886    0.36968778796069285   0.9078190145931934    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
121   1066.6045107650764    0.3779353964946125   0.8547563401533494    1.0 
122   1066.222155835324    0.4062517075858396   1.060287745294276    1.0 
123   1065.8162915662176    0.38278559060614514   0.964992907884964    1.0 
124   1065.4331226381144    1.2523566625768534   7.839064558245345    1.0 
125   1064.610664559599    0.35400709590045254   0.9183785540132884    1.0 
126   1064.2538667310607    0.37979902673980903   0.93226966825841    1.0 
127   1063.8665274144844    0.3544252446379332   0.9106014999274388    1.0 
128   1063.5053265185486    0.37063857436033704   0.8959235620332504    1.0 
129   1063.1310877710443    0.35646321733979924   0.8426632348767314    1.0 
130   1062.7703297512614    0.3609518310833747   0.791927684802284    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
131   1062.4070163023907    0.3479872642307449   0.765549734898208    1.0 
132   1062.0567762354046    0.49031936616435073   1.3560214253622174    1.0 
133   1061.5826471006699    1.4034685254689923   8.953457991247497    1.0 
134   1060.691902332864    0.4050803165059422   1.457794118813794    1.0 
135   1060.3017946247123    0.34118930080304144   0.8961583233200654    1.0 
136   1059.9559463081496    0.5242770127821785   0.777277848408771    1.0 
137   1059.4355834170567    0.324932051573617   0.8065869398628924    1.0 
138   1059.1085430963708    0.3295173040307604   0.7481531303959287    1.0 
139   1058.7739113946468    0.389479012032491   0.715163788435887    1.0 
140   1058.3806749026314    0.31506606798890036   0.7210885933525227    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
141   1058.0616253582577    0.394454423447376   1.008614470269781    1.0 
142   1057.6718196937006    0.3742341034716179   0.9195297442840494    1.0 
143   1057.2960623414024    1.0000486471232612   7.309393859857527    1.0 
144   1056.6348813667119    0.3667292099696835   0.7596722368677669    1.0 
145   1056.2645363222255    0.37434894318740364   0.7331968034674821    1.0 
146   1055.8853908131607    0.37966740975773433   0.7287775694772838    1.0 
147   1055.5017761216686    0.29773594145013077   0.7263849894851802    1.0 
148   1055.2004420791804    0.31468931193729527   0.6793781902155077    1.0 
149   1054.8820891423386    0.33152174641654764   0.6480313835416457    1.0 
150   1054.5505056214854    0.37182027441249227   1.1765605831425048    1.0 
